Question number/numéro de la question,AnswerType,IsReversed,English,Français,IndicatorENG,IndicatorFRA,IndicatorID,SubIndicatorENG,SubIndicatorFRA,
Q18b,2,1,I feel that the quality of my work suffers because of... lack of stability in my department or agency.,J'estime que la qualité de mon travail est minée parce que… mon ministère ou organisme manque de stabilité.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational performance,Rendement organisationnel,10
Q18c,2,1,I feel that the quality of my work suffers because of... too many approval stages.,J'estime que la qualité de mon travail est minée parce que… il y a un trop grand nombre d'étapes d'approbation.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational performance,Rendement organisationnel,10
Q18d,2,1,I feel that the quality of my work suffers because of... unreasonable deadlines.,J'estime que la qualité de mon travail est minée parce que… les échéanciers sont déraisonnables.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational performance,Rendement organisationnel,10
Q18e,2,1,"I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.","J'estime que la qualité de mon travail est minée parce que… je dois faire le même travail, ou en faire plus, avec moins de ressources.",WORKPLACE,MILIEU DE TRAVAIL,4,Organizational performance,Rendement organisationnel,10
Q18f,2,1,I feel that the quality of my work suffers because of... high staff turnover.,J'estime que la qualité de mon travail est minée parce que… le taux de roulement du personnel est élevé.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational performance,Rendement organisationnel,10
Q18g,2,1,I feel that the quality of my work suffers because of... overly complicated or unnecessary business processes.,J'estime que la qualité de mon travail est minée parce que… les processus opérationnels sont trop compliqués ou inutiles.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational performance,Rendement organisationnel,10
Q18h,2,1,I feel that the quality of my work suffers because of... Unreliable technology.,J'estime que la qualité de mon travail est minée parce que… les technologies sont peu fiables.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational performance,Rendement organisationnel,10
Q19,1,0,"During meetings in my work unit, I feel free to use the official language of my choice.","Durant les réunions de mon unité de travail, je me sens libre d’utiliser la langue officielle de mon choix.",WORKPLACE,MILIEU DE TRAVAIL,4,Use of official languages,Utilisation des langues officielles,14
Q20,1,0,I am satisfied with how interpersonal issues are resolved in my work unit.,Je suis satisfait(e) de la manière dont les problèmes interpersonnels sont réglés dans mon unité de travail.,WORKPLACE,MILIEU DE TRAVAIL,4,Ethical workplace,Milieu de travail éthique,12
Q21,1,0,"In my work unit, every individual is accepted as an equal member of the team.","Dans mon unité de travail, chaque personne est acceptée comme membre à part entière de l'équipe.",WORKPLACE,MILIEU DE TRAVAIL,4,Respectful workplace,Milieu de travail respectueux,11
Q22,1,0,"In my work unit, individuals behave in a respectful manner.","Dans mon unité de travail, les gens se comportent de manière respectueuse.",WORKPLACE,MILIEU DE TRAVAIL,4,Respectful workplace,Milieu de travail respectueux,11
Q23,1,0,The people I work with value my ideas and opinions.,Les personnes avec lesquelles je travaille valorisent mes idées et mes opinions.,WORKPLACE,MILIEU DE TRAVAIL,4,Respectful workplace,Milieu de travail respectueux,11
Q24,1,0,My immediate supervisor encourages me to work collaboratively with others outside of my work unit.,Mon (ma) superviseur(e) immédiat(e) m’encourage à travailler en collaboration avec d’autres personnes à l’extérieur de mon unité de travail.,LEADERSHIP,LEADERSHIP,2,Immediate supervisor,Superviseur immédiat,2
Q25,1,0,I receive useful feedback from my immediate supervisor on my job performance.,Je reçois de la rétroaction utile de mon (ma) superviseur(e) immédiat(e) sur mon rendement au travail.,WORKFORCE,EFFECTIF,3,Performance management,Gestion du rendement,4
Q26,1,0,I can count on my immediate supervisor to keep his or her promises.,Je sais que mon (ma) superviseur(e) immédiat(e) tiendra ses engagements.,LEADERSHIP,LEADERSHIP,2,Immediate supervisor,Superviseur immédiat,2
Q27,1,0,My immediate supervisor keeps me informed about the issues affecting my work.,Mon (ma) superviseur(e) immédiat(e) me tient au courant des questions touchant mon travail.,LEADERSHIP,LEADERSHIP,2,Immediate supervisor,Superviseur immédiat,2
Q28,1,0,"When I communicate with my immediate supervisor, I feel free to use the official language of my choice.","Lorsque je communique avec mon (ma) superviseur(e) immédiat(e), je me sens libre de le faire dans la langue officielle de mon choix.",WORKPLACE,MILIEU DE TRAVAIL,4,Use of official languages,Utilisation des langues officielles,14
Q29,1,0,"Subject to operational requirements, my immediate supervisor supports the use of flexible work arrangements (e.g., flexible hours, compressed workweeks, telework).","Sous réserve des nécessités du service, mon (ma) superviseur(e) immédiat(e) appuie l’utilisation de régimes de travail flexibles (p. ex., horaire variable, semaine de travail comprimée, télétravail).",WORKFORCE,EFFECTIF,3,Work-life balance and workload,Équilibre travail-vie privée et charge de travail,7
Q30,1,0,My immediate supervisor seems to care about me as a person.,Mon (ma) superviseur(e) immédiat(e) semble se soucier de moi en tant que personne.,WORKPLACE WELL-BEING,BIEN-ÊTRE EN MILIEU DE TRAVAIL,5,A psychologically healthy workplace,Milieu de travail sain sur le plan psychologique,19
Q31,1,0,I am satisfied with the quality of supervision I receive.,Je suis satisfait(e) de la qualité de la supervision qui est exercée à mon égard.,LEADERSHIP,LEADERSHIP,2,Immediate supervisor,Superviseur immédiat,2
Q33,1,0,I am equipped to support employees in my work unit who are experiencing mental health issues. (for supervisors),Je suis outillé(e) pour aider les employé(e)s de mon unité de travail qui ont des problèmes de santé mentale. (pour les superviseurs),WORKPLACE WELL-BEING,BIEN-ÊTRE EN MILIEU DE TRAVAIL,5,A psychologically healthy workplace,Milieu de travail sain sur le plan psychologique,19
Q34,1,0,Senior managers in my department or agency lead by example in ethical behaviour.,Les cadres supérieurs de mon ministère ou organisme montrent l'exemple par leur comportement éthique.,LEADERSHIP,LEADERSHIP,2,Senior management,Haute direction,3
Q35,1,0,I have confidence in the senior management of my department or agency.,J'ai confiance en la haute direction de mon ministère ou organisme.,LEADERSHIP,LEADERSHIP,2,Senior management,Haute direction,3
Q36,1,0,Senior management in my department or agency makes effective and timely decisions.,La haute direction de mon ministère ou organisme prend des décisions efficaces et opportunes.,LEADERSHIP,LEADERSHIP,2,Senior management,Haute direction,3
Q37,1,0,Essential information flows effectively from senior management to staff.,La haute direction communique efficacement les renseignements essentiels au personnel.,LEADERSHIP,LEADERSHIP,2,Senior management,Haute direction,3
Q38,2,0,Senior managers in my department or agency use both official languages in their interactions with employees.,Les cadres supérieurs de mon ministère ou organisme utilisent les deux langues officielles dans leurs interactions avec les employé(e)s.,WORKPLACE,MILIEU DE TRAVAIL,4,Use of official languages,Utilisation des langues officielles,14
Q39,1,0,"My department or agency does a good job of communicating its vision, mission and goals.","Mon ministère ou organisme communique efficacement sa vision, sa mission et ses objectifs.",WORKPLACE,MILIEU DE TRAVAIL,4,Organizational goals,Buts organisationnels,9
Q40,1,0,I feel that change is managed well in my department or agency.,J’estime que le changement est bien géré au sein de mon ministère ou organisme.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational performance,Rendement organisationnel,10
Q41,1,0,"If I am faced with an ethical dilemma or a conflict between values in the workplace, I know where I can go for help in resolving the situation.","Si j'étais confronté(e) à un dilemme éthique ou à un conflit entre les valeurs du milieu de travail, je saurais où aller pour obtenir de l'aide afin de régler le problème.",WORKPLACE,MILIEU DE TRAVAIL,4,Ethical workplace,Milieu de travail éthique,12
Q42,1,0,My department or agency does a good job of promoting values and ethics in the workplace.,Mon ministère ou organisme fait un bon travail de promotion des valeurs et de l'éthique dans le milieu de travail.,WORKPLACE,MILIEU DE TRAVAIL,4,Ethical workplace,Milieu de travail éthique,12
Q43,1,0,"I feel I can initiate a formal recourse process (e.g., grievance, complaint, appeal) without fear of reprisal.","J'estime pouvoir amorcer un processus de recours officiel (p. ex., grief, plainte, droit d'appel) sans crainte de représailles.",WORKPLACE,MILIEU DE TRAVAIL,4,Ethical workplace,Milieu de travail éthique,12
Q44,1,0,My department or agency does a good job of supporting employee career development.,Mon ministère ou organisme met tout en œuvre pour appuyer ses employé(e)s dans leur perfectionnement professionnel.,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q45,1,0,"I believe I have opportunities for promotion within my department or agency, given my education, skills and experience.","J'estime avoir des possibilités d'obtenir une promotion au sein de mon ministère ou organisme, compte tenu de ma scolarité, de mes compétences et de mon expérience.",WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q46a,3,0,To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Conflict between my work obligations and my family or personal obligations,Dans quelle mesure estimez-vous que les éléments suivants ont nui à la progression de votre carrière au sein de la fonction publique fédérale au cours des 12 derniers mois? Conflit entre mes obligations professionnelles et mes obligations familiales ou personnelles,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q46b,3,0,To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Lack of access to language training in my second official language,Dans quelle mesure estimez-vous que les éléments suivants ont nui à la progression de votre carrière au sein de la fonction publique fédérale au cours des 12 derniers mois? Manque d'accès à de la formation linguistique dans ma seconde langue officielle,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q46c,3,0,To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Lack of access to learning opportunities,Dans quelle mesure estimez-vous que les éléments suivants ont nui à la progression de votre carrière au sein de la fonction publique fédérale au cours des 12 derniers mois? Manque d'accès à des opportunités d'apprentissage,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q46d,3,0,To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Lack of access to developmental programs,Dans quelle mesure estimez-vous que les éléments suivants ont nui à la progression de votre carrière au sein de la fonction publique fédérale au cours des 12 derniers mois? Manque d’accès aux programmes de perfectionnement,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q46e,3,0,To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Lack of opportunities in my region,Dans quelle mesure estimez-vous que les éléments suivants ont nui à la progression de votre carrière au sein de la fonction publique fédérale au cours des 12 derniers mois? Manque d’opportunités dans ma région,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q46f,3,0,To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Level of education,Dans quelle mesure estimez-vous que les éléments suivants ont nui à la progression de votre carrière au sein de la fonction publique fédérale au cours des 12 derniers mois? Niveau de scolarité,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q46g,3,0,To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Discrimination,Dans quelle mesure estimez-vous que les éléments suivants ont nui à la progression de votre carrière au sein de la fonction publique fédérale au cours des 12 derniers mois? Discrimination,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q46h,3,0,To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Accessibility or accommodation issues,Dans quelle mesure estimez-vous que les éléments suivants ont nui à la progression de votre carrière au sein de la fonction publique fédérale au cours des 12 derniers mois? Problèmes d’accessibilité ou d’adaptation,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q47,1,0,I feel I would be supported by my department or agency if I proposed a new idea.,J'estime que j'obtiendrais du soutien de mon ministère ou organisme si je proposais une nouvelle idée.,WORKFORCE,EFFECTIF,3,Empowerment,Habilitation,6
Q48,1,0,"I think that my department or agency respects individual differences (e.g., culture, work styles, ideas).","Je crois que mon ministère ou organisme respecte les différences individuelles (p. ex., la culture, les méthodes de travail, les idées).",WORKPLACE,MILIEU DE TRAVAIL,4,Respectful workplace,Milieu de travail respectueux,11
Q49,1,0,My department or agency implements activities and practices that support a diverse workplace.,Mon ministère ou organisme met en place des activités et des pratiques qui favorisent un milieu de travail diversifié.,WORKPLACE,MILIEU DE TRAVAIL,4,Respectful workplace,Milieu de travail respectueux,11
Q49,1,0,My department or agency implements activities and practicesthat support a diverse workplace.,Mon ministère ou organisme met en place des activités et des pratiques qui favorisent un milieu de travail diversifié.,WORKPLACE,MILIEU DE TRAVAIL,4,Respectful workplace,Milieu de travail respectueux,11
Q50,1,0,"Overall, my department or agency treats me with respect.","Dans l'ensemble, mon ministère ou organisme me traite avec respect.",WORKPLACE,MILIEU DE TRAVAIL,4,Respectful workplace,Milieu de travail respectueux,11
Q51,1,0,I would recommend my department or agency as a great place to work.,Je recommanderais mon ministère ou organisme comme un excellent milieu de travail.,EMPLOYEE ENGAGEMENT,MOBILISATION DES EMPLOYÉS,1,Employee Engagement,Mobilisation des employés,1
Q52,1,0,I am satisfied with my department or agency.,Je suis satisfait(e) de mon ministère ou organisme.,EMPLOYEE ENGAGEMENT,MOBILISATION DES EMPLOYÉS,1,Employee Engagement,Mobilisation des employés,1
Q53,1,0,"I would prefer to remain with my department or agency, even if a comparable job was available elsewhere in the federal public service.",Je préférerais continuer à travailler au sein de mon ministère ou organisme même si un poste comparable était disponible ailleurs dans la fonction publique fédérale.,EMPLOYEE ENGAGEMENT,MOBILISATION DES EMPLOYÉS,1,Employee Engagement,Mobilisation des employés,1
Q54,4,1,Do you intend to leave your current position in the next two years?,Avez-vous l'intention de quitter votre poste actuel au cours des deux prochaines années?,WORKFORCE,EFFECTIF,3,Mobility and Retention,Mobilité et maintien en poste,8
Q55,5,1,Please indicate your reason for leaving.,Veuillez indiquer la raison de votre départ.,WORKFORCE,EFFECTIF,3,Mobility and Retention,Mobilité et maintien en poste,8
Q56,1,0,I am familiar with the provisions of my collective agreement or my terms and conditions of employment.,Je connais bien les dispositions de ma convention collective ou mes conditions d’emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Collective agreements and terms and conditions of employment,Conventions collectives et conditions d'emploi,15
Q56,1,0,I am familiar with the provisions of my collective agreement.,Je connais bien les dispositions de ma convention collective ou mes conditions d’emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Collective agreements and terms and conditions of employment,Conventions collectives et conditions d'emploi,15
Q57,1,0,My immediate supervisor respects the provisions of my collective agreement or my terms and conditions of employment.,Mon (ma) superviseur(e) immédiat(e) respecte les dispositions de ma convention collective ou mes conditions d’emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Collective agreements and terms and conditions of employment,Conventions collectives et conditions d'emploi,15
Q57,1,0,My immediate supervisor understands and respects the provisions of my collective agreement.,Mon (ma) superviseur(e) immédiat(e) respecte les dispositions de ma convention collective ou mes conditions d’emploi.,WORKPLACE,MILIEU DE TRAVAIL,4,Collective agreements and terms and conditions of employment,Conventions collectives et conditions d'emploi,15
Q58,6,1,"Having carefully read the definition of harassment, have you been the victim of harassment on the job in the past 12 months?","Après avoir lu attentivement la définition du harcèlement, au cours des 12 derniers mois, avez-vous été victime de harcèlement au travail?",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q58,6,1,"Having carefully read the definition of harassment above, have you been the victim of harassment on the job in the past two years?","Après avoir lu attentivement la définition du harcèlement, au cours des 12 derniers mois, avez-vous été victime de harcèlement au travail?",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59a,6,1,From whom did you experience harassment on the job? Co-workers,De la part de qui avez-vous été victime de harcèlement au travail? Collègues,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59b,6,1,From whom did you experience harassment on the job? Individuals with authority over me,De la part de qui avez-vous été victime de harcèlement au travail? Supérieur(e)s,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59b,6,1,From whom did you experience harassment on the job? ...Individuals with authority over me,De la part de qui avez-vous été victime de harcèlement au travail? Supérieur(e)s,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59c,6,1,From whom did you experience harassment on the job? Individuals working for me,De la part de qui avez-vous été victime de harcèlement au travail? Employé(e)s relevant de moi,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59c,6,1,From whom did you experience harassment on the job? ...Individuals working for me,De la part de qui avez-vous été victime de harcèlement au travail? Employé(e)s relevant de moi,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59d,6,1,"From whom did you experience harassment on the job? Individuals for whom I have a custodial responsibility (e.g., inmates, offenders, patients, detainees)","De la part de qui avez-vous été victime de harcèlement au travail? Personnes envers lesquelles j'ai une responsabilité de garde (p. ex., détenu(e)s, contrevenant(e)s, patient(e)s, personnes sous garde)",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59d,6,1,"From whom did you experience harassment on the job? ...Individuals for whom I have a custodial responsibility (e.g., inmates, offenders, patients, detainees)","De la part de qui avez-vous été victime de harcèlement au travail? Personnes envers lesquelles j'ai une responsabilité de garde (p. ex., détenu(e)s, contrevenant(e)s, patient(e)s, personnes sous garde)",WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59e,6,1,From whom did you experience harassment on the job? Individuals from other departments or agencies,De la part de qui avez-vous été victime de harcèlement au travail? Personnes d'autres ministères ou organismes,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59e,6,1,From whom did you experience harassment on the job? ...Individuals from other departments or agencies,De la part de qui avez-vous été victime de harcèlement au travail? Personnes d'autres ministères ou organismes,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59f,6,1,From whom did you experience harassment on the job? Members of the public (individuals or organizations),De la part de qui avez-vous été victime de harcèlement au travail? Membres du public (personnes ou organisations),WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59f,6,1,From whom did you experience harassment on the job? ...Members of the public (individuals or organizations),De la part de qui avez-vous été victime de harcèlement au travail? Membres du public (personnes ou organisations),WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59g,6,1,From whom did you experience harassment on the job? Other,De la part de qui avez-vous été victime de harcèlement au travail? Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q59g,6,1,From whom did you experience harassment on the job? ...Other,De la part de qui avez-vous été victime de harcèlement au travail? Autre,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60a,6,1,Please indicate the nature of the harassment you experienced. Aggressive behaviour,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Comportement agressif,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60a,6,1,Please indicate the nature of the harassment you experienced. ...Aggressive behaviour,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Comportement agressif,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60b,6,1,Please indicate the nature of the harassment you experienced. Excessive control,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Contrôle excessif,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60b,6,1,Please indicate the nature of the harassment you experienced. ...Excessive control,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Contrôle excessif,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60c,6,1,Please indicate the nature of the harassment you experienced. Being excluded or being ignored,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Être exclu(e) ou ignoré(e),WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60c,6,1,Please indicate the nature of the harassment you experienced. ...Being excluded or being ignored,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Être exclu(e) ou ignoré(e),WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60d,6,1,Please indicate the nature of the harassment you experienced. Humiliation,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Humiliation,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60d,6,1,Please indicate the nature of the harassment you experienced. ...Humiliation,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Humiliation,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60e,6,1,Please indicate the nature of the harassment you experienced. Interference with work or withholding resources,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Interférence dans le travail ou retenue de ressources,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60e,6,1,Please indicate the nature of the harassment you experienced. Interference with work / withholding resources,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Interférence dans le travail ou retenue de ressources,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60e,6,1,Please indicate the nature of the harassment you experienced. ...Interference with work or withholding resources,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Interférence dans le travail ou retenue de ressources,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60f,6,1,Please indicate the nature of the harassment you experienced. Offensive remark,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Commentaire désobligeant,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60f,6,1,Please indicate the nature of the harassment you experienced. ...Offensive remark,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Commentaire désobligeant,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60g,6,1,Please indicate the nature of the harassment you experienced. Personal attack,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Attaque personnelle,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60g,6,1,Please indicate the nature of the harassment you experienced. ...Personal attack,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Attaque personnelle,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60h,6,1,Please indicate the nature of the harassment you experienced. Physical violence,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Violence physique,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60h,6,1,Please indicate the nature of the harassment you experienced. ...Physical violence,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Violence physique,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60i,6,1,Please indicate the nature of the harassment you experienced. Sexual comment or gesture,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Commentaire ou geste à caractère sexuel,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60i,6,1,Please indicate the nature of the harassment you experienced. ...Sexual comment or gesture,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Commentaire ou geste à caractère sexuel,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60j,6,1,Please indicate the nature of the harassment you experienced. Threat,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Menace,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60j,6,1,Please indicate the nature of the harassment you experienced. ...Threat,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Menace,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
Q60k,6,1,Please indicate the nature of the harassment you experienced. Unfair treatment,Veuillez indiquer la nature du harcèlement dont vous avez fait l'objet. Traitement injuste,WORKPLACE,MILIEU DE TRAVAIL,4,Harassment,Harcèlement,16
